sampler,project,vessel,location,year,month,day,crab.number,maturity,carapace.width,sex,weight,egg.colour,shell.condition,missing.legs,abdomen.width,egg.weight,egg.sample.number,egg.sample.weight,fecundity
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A1,m,66,2,124,br,o,xxxxxxxxxx,48,3.4525,1000,678,50921
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A2,m,63,2,94,br,o,xxxxxxxxxx,45,3.2651,1000,682,47875
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A3,m,71,2,132,br,o,xxxxxxxxxx,48,4.6288,1000,682,67870
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A4,m,68,2,110,br,o,xxxxxxxxxx,47,3.4236,1000,660,51872
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A5,m,66,2,100,o,o,xxxxxxxxxx,46,4.1036,1000,741,55379
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A6,m,63,2,98,o,o,xxxxxxxxxx,46,3.2873,1000,776,42362
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A7,m,69,2,120,br,o,xxxxxxxxxx,48,3.797,1000,681,55756
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A8,m,71,2,130,br,o,xxxxxxxxxx,50,4.7101,1000,671,70195
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A9,m,65,2,102,o,o,xxxxxxxxxx,46,3.7138,1000,791,46950
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A10,m,74,2,140,br,o,xxxxxxxxxx,52,5.3616,1000,659,81359
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A11,m,71,2,106,o,o,xxxxxxxxxx,48,3.8884,1000,743,52333
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A12,m,80,2,164,br,o,xxxxxxxxxx,55,5.2022,1000,755,68903
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A13,m,64,2,98,o,o,xxxxxxxxxx,44,3.2286,1000,629,51329
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A14,m,61,2,72,o,o,xxxxxxxxxx,42,2.0801,1000,781,26645
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A15,m,69,2,114,o,o,xxxxxxxxxx,50,4.0853,1000,767,53263
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A16,m,68,2,112,br,o,xxxxxxxxxx,47,4.2534,1000,624,68163
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A17,m,66,2,108,o,o,xxxxxxxxxx,46,3.0382,1000,712,42671
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A18,m,73,2,128,o,o,xxxxxxxxxx,51,3.5166,1000,719,48909
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A19,m,65,2,100,o,o,xxxxxxxxxx,46,2.4885,1000,738,33719
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A20,m,61,2,66,o,o,xxx1xxxx1x,40,1.8747,1000,676,27732
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A21,m,57,2,66,o,o,xxxxxxxxxx,42,2.6788,1000,619,43276
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A22,m,74,2,124,o,o,xxx11xxxxx,54,2.1575,1000,715,30174
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A23,m,70,2,104,o,o,xxxxxxxxxx,48,3.3436,1000,708,47225
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A24,m,65,2,98,o,o,xxxxxxxxxx,45,3.5567,1000,654,54383
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A25,m,63,2,90,o,o,xxxxxxxxxx,44,3.3923,1000,752,45110
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A26,m,69,2,116,o,o,xxxxxxxxxx,46,3.5996,1000,794,45335
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A27,m,67,2,90,o,o,xxxxxx1xxx,45,,1000,,
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A28,m,58,2,70,o,o,xxxxxxxxxx,40,,1000,,
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A29,m,63,2,82,br,o,xxxx1xxxxx,43,,1000,,43040
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A30,m,67,2,86,o,o,x1xxxxxxxx,43,1.7764,1000,656,27079
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A31,m,73,2,144,o,o,xxx11xxxxx,52,3.9439,1000,706,55862
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A32,m,71,2,130,o,o,xxxxxxxxxx,48,4.3612,1000,752,57994
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A33,m,68,2,108,o,o,xx1xxxxxxx,45,2.4321,1000,730,33316
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A34,m,52,2,56,br,o,xxxxxxxxxx,35,,1000,,
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A35,m,65,2,88,o,o,xxx1xxxxxx,46,2.2532,1000,699,32234
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A36,m,65,2,94,br,o,xxxxxxxx1x,44,2.5651,1000,688,37283
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A37,m,72,2,120,o,o,xxxxx1xxxx,48,,1000,,24868
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A38,m,62,2,76,o,o,111xxxxxxx,44,,1000,,
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A39,m,53,2,61,br,o,xxxxxxxxxx,36,2.3206,1000,698,33246
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A40,m,67,2,98,br,o,x1xxxxxxxx,48,2.6402,1000,701,37663
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A41,m,51,2,40,o,o,x1xx1xxxxx,35,,1000,,
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A42,m,74,2,124,o,o,x1xxxxxxxx,51,1.1764,1000,638,45953
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A43,m,56,2,61,br,o,xxxxxxxxxx,39,1.9114,1000,676,28275
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A44,m,53,2,56,o,o,xxxxxxxxx1,37,2.1024,1000,695,30250
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A45,m,70,2,116,o,o,xxxx1x1xxx,48,3.5371,1000,729,48519
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A46,m,62,2,86,o,o,xxxxxxxxxx,44,1.4815,1000,610,24286
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A46,m,59,2,44,br,o,xxxxxxxx11,43,2.7802,1000,605,45953
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A47,m,72,2,146,o,o,xxxxxxxxxx,60,4.5294,1000,729,62131
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A48,m,53,2,53,br,o,1x1xxxxxxx,38,1.8357,1000,669,27439
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A49,m,66,2,100,br,o,1xxxxxxx1x,46,2.8767,1000,632,45089
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A50,m,57,2,66,o,o,xxxxxxxxxx,41,1.8624,1000,647,28785
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A51,m,56,2,66,br,o,1xx1xxxxxx,40,2.5377,1000,714,35542
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A52,m,70,2,130,br,o,1x1xxxxxxx,48,4.9866,1000,677,73657
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A53,m,57,2,70,o,o,xxxxxxxxxx,39,1.9762,1000,675,29277
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A54,m,54,2,63,br,o,xxxx1xxxxx,39,,1000,,73129
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A55,m,60,2,86,br,o,xxxxxxxxxx,43,2.7961,1000,678,41240
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A56,m,72,2,134,br,o,xxxxxxxx1x,48,4.5966,1000,711,64649
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A57,m,75,2,134,o,o,x1xxx1xxxx,53,4.5538,1000,724,62897
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A58,m,60,2,78,o,o,xxx1xxxxxx,45,3.1664,1000,762,41553
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A59,m,67,2,100,br,o,x1xxxxxxxx,45,2.8035,1000,782,35850
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A60,m,68,2,100,o,o,xxxxxxxxxx,45,2.1292,1000,632,33689
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A61,m,62,2,78,br,o,xxx1xxxxxx,44,2.1556,1000,547,39407
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A62,m,56,2,66,br,o,xxx1xxxxx1,41,2.7141,1000,651,41691
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A63,m,69,2,114,br,o,x1xxxxx1xx,46,4.1634,1000,697,59733
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A64,m,55,2,66,o,o,xxxxxxxxxx,38,2.0533,1000,671,30600
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A65,m,59,2,68,o,o,x1xxx1xxxx,39,1.4719,1000,655,22471
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A66,m,64,2,90,o,o,x1xxxxxxx1,47,1.1195,1000,627,17854
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A67,m,58,2,76,o,o,xxxxxxxxxx,40,2.9881,1000,688,43431
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A68,m,62,2,88,o,o,xxxxxxxxxx,44,2.9711,1000,747,39773
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A69,m,60,2,74,o,o,xxxxxxxxxx,42,2.3846,1000,714,33397
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A70,m,55,2,61,br,o,x1x1xxxxxx,41,1.3077,1000,617,21194
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A71,m,59,2,68,o,o,xxxxxxxxxx,40,2.6227,1000,682,38456
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A72,m,52,2,47,o,o,x1xxxxxxxx,38,1.4343,1000,741,19356
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A73,m,58,2,78,br,o,xxxxxxxxxx,40,3.0639,1000,674,45458
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A74,m,58,2,76,br,o,xxxxxxxxxx,43,2.7893,1000,643,43379
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A75,m,55,2,54,o,o,xxxxxxxx11,39,2.3255,1000,739,31468
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A76,m,74,2,138,o,o,xxx1xxxxxx,53,4.2289,1000,734,57614
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A77,m,52,2,56,o,o,xxxxxxxxxx,37,2.6259,1000,717,36623
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A78,m,51,2,48,o,o,xxxxxxxxxx,36,1.9376,1000,674,28747
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A79,m,57,2,72,br,o,xxxxxxxxxx,40,2.6592,1000,673,39512
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A80,m,64,2,88,br,o,x1x1xxxxxx,43,2.9923,1000,664,45064
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A81,m,54,2,62,o,o,xxxxxxxxxx,38,2.1847,1000,611,35756
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A82,m,54,2,46,o,o,xxxxxxxxx1,37,1.7995,1000,743,24219
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A83,m,59,2,84,br,o,xxxxxxxxxx,42,2.9672,1000,671,44220
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A84,m,61,2,86,o,o,xxxxxxxxxx,43,1.7211,1000,620,27759
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A85,m,57,2,63,br,o,xxxxxxxxxx,38,2.2095,1000,602,36702
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A86,m,60,2,82,o,o,xxxxxxxxxx,41,2.0514,1000,719,28531
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A87,m,53,2,58,br,o,xxxxxxxxxx,39,2.5829,1000,641,40294
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A88,m,64,2,94,br,o,xx1xxxxxxx,46,3.6214,1000,665,54457
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A89,m,49,2,52,br,o,xxxxxxxxxx,36,1.9868,1000,637,28919
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A90,m,72,2,144,br,o,xxxxxxxxxx,48,4.9223,1000,700,70318
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A91,m,50,2,45,br,o,x1xxxxx11x,34,1.4634,1000,629,23265
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A92,m,75,2,436,o,o,xx1xxxxxx1,51,2.1145,1000,621,34049
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A93,m,54,2,50,o,o,x1xxxxx11x,49,,1000,,
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A94,m,62,2,90,br,o,xxxxxxxxx1,44,3.0967,1000,708,43738
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A95,m,76,2,140,o,o,xxx1xxxxxx,52,4.0265,1000,667,60367
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A96,m,55,2,57,br,o,xxxxxxx1xx,41,1.9747,1000,615,32108
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A97,m,60,2,82,br,o,xxxxxxxxxx,43,2.8795,1000,665,43300
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A98,m,70,2,120,br,o,xxxxxxxxxx,51,4.6723,1000,677,69014
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A99,m,61,2,92,br,o,xxxxxxxxxx,44,3.4171,1000,698,48955
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A100,m,52,2,47,br,o,x1xxxxxxxx,38,1.9247,1000,692,27813
Pierre Mallet,Fecundity,Emy-Serge,Western Bradelle Bank,1988,6,24,A101,m,78,2,166,br,o,xxxxxxxxx1,58,4.6287,1000,727,63668
